Item ID,Reference,Quantity, Value, Footprint, Manufacturer1, Manufacturer1PartNumber
1,"P2,P3,P6,P7,R3,P10,P11,P13,P14",0,DNU,DNU,DNU,DNU
2,"P4,P5",2,PAD,CONN_1_PADnHOLE_2.2mmx.8mm,Mill-Max,0906-2-15-20-75-14-11-0
3,P1,1,Conn_Basic_10_pin,CONN_5034801000_MOLEX_FFC_10pin,Molex,5034801000
4,P8,1,Conn_Basic_2_pin,TERM_BLK_2_SIDE_2.54MM,Phoenix,1725656
5,P9,1,Conn_Basic_5_pin_0,CONN_RCPT_USB2_TYPEA_RA_TE,TE CONNECTIVITY,292303-9
6,"Q2,Q3",2,N_MOS_SOT23,SOT-23,Diodes Inc,DMN63D8L-7
7,Q1,1,P_MOS_SOT23,SOT-23,Diodes Inc,DMG2305UX-13
8,"R2,R4",2,1k,0805_Medium_Pads,Yageo,RC0805FR-071KL
9,"C1,C10,C2,C6,C9,C11,C15,C18",8,10uF,1206_Big-Pads,TDK,C3216X7R1E106K160AB
10,R1,1,1M,0805_Medium_Pads,Yageo,RC0805FR-071ML
11,"U1,U2",2,TPS54339,SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm,TI,TPS54339EDDAR
12,"C3,C4,C7,C8,C5,C12,C13,C16,C17,C14,C20",11,.47uF,0805_Medium_Pads,KEMET,C0805C474K3RACTU
13,"L1,L2,L3",3,3.3uH 4.2A 35m,IND_2_5x5mm,TDK,VLS5045EX-3R3N
14,"R6,R9",2,100k,0805_Medium_Pads,Yageo,RC0805FR-07100KL
15,R8,1,18k,0805_Medium_Pads,Yageo,RC0805FR-0718KL
16,"R5,R10",2,22.6k,0805_Medium_Pads,Yageo,RC0805FR-0722K6L
17,F1,1,PTC FUSE,1812,Bel Fuse,0ZCG0200AF2B
18,D1,1,Uni Zener 23V@17A,SMA,Littelfuse,SMAJ14A
19,C19,1,100uF,CAP_SMD_CAN_6.6x6.6mm,Nichicon,UWT1E101MCL1GS
