Reference, Value, Footprint, Datasheet, Manufacturer1, Manufacturer1PartNumber, Tolerance, Voltage
"P2","PAD","Footprints:NPTH_2mm","","MFG1","MFG1PN","",""
"P3","PAD","Footprints:NPTH_2mm","","MFG1","MFG1PN","",""
"P4","PAD","Interfacez:CONN_1_SPRING_TH_1.83x.6mm","","Mill-Max","0906-2-15-20-75-14-11-0","",""
"P6","PAD","Footprints:NPTH_2mm","","MFG1","MFG1PN","",""
"P7","PAD","Footprints:NPTH_2mm","","MFG1","MFG1PN","",""
"P5","PAD","Interfacez:CONN_1_SPRING_TH_1.83x.6mm","","Mill-Max","0906-2-15-20-75-14-11-0","",""
"P1","Conn_Basic_10_pin","Footprints:CONN_5034801000_MOLEX_FFC_10pin","","Molex","5034801000","",""
"P8","Conn_Basic_2_pin","Footprints:TERM_BLK_2_SIDE_2.54MM","","Phoenix","1725656","",""
"P9","Conn_Basic_5_pin_0","Footprints:CONN_RCPT_USB2_TYPEA_RA_TE","","TE CONNECTIVITY","292303-9","",""
"Q2","N_MOS_SOT23","Footprints:SOT-23","","Diodes Inc","DMN63D8L-7","",""
"Q1","P_MOS_SOT23","Footprints:SOT-23","","Diodes Inc","DMG2305UX-13","",""
"R2","1k","Footprints:0805_Medium_Pads","","Yageo","RC0805FR-071KL","Tol",""
"R3","DNU","Footprints:0805_Medium_Pads","","MFG1","MFG1PN","Tol",""
"C1","10uF","Footprints:1206_Big-Pads","","TDK","C3216X7R1E106K160AB","","25V"
"R1","1M","Footprints:0805_Medium_Pads","","Yageo","RC0805FR-071ML","1%",""
"P10","PAD","Footprints:NPTH_1.5mm","","MFG1","MFG1PN","",""
"P11","PAD","Footprints:NPTH_1.5mm","","MFG1","MFG1PN","",""
"U1","TPS54339","Footprints:SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm","","TI","TPS54339EDDAR","",""
"C10","10uF","Footprints:1206_Big-Pads","","TDK","C3216X7R1E106K160AB","","25V"
"C2","10uF","Footprints:1206_Big-Pads","","TDK","C3216X7R1E106K160AB","","25V"
"C3",".47uF","Footprints:0805_Medium_Pads","","KEMET","C0805C474K3RACTU","","25V"
"L1","3.3uH 4.2A 35m","Footprints:IND_2_5x5mm","","TDK","VLS5045EX-3R3N","",""
"C6","10uF","Footprints:1206_Big-Pads","","TDK","C3216X7R1E106K160AB","","25V"
"C9","10uF","Footprints:1206_Big-Pads","","TDK","C3216X7R1E106K160AB","","25V"
"C4",".47uF","Footprints:0805_Medium_Pads","","KEMET","C0805C474K3RACTU","","25V"
"C7",".47uF","Footprints:0805_Medium_Pads","","KEMET","C0805C474K3RACTU","","25V"
"C8",".47uF","Footprints:0805_Medium_Pads","","KEMET","C0805C474K3RACTU","","25V"
"C5",".47uF","Footprints:0805_Medium_Pads","","KEMET","C0805C474K3RACTU","","25V"
"R6","100k","Footprints:0805_Medium_Pads","","Yageo","RC0805FR-07100KL","Tol",""
"U2","TPS54339","Footprints:SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm","","TI","TPS54339EDDAR","",""
"C11","10uF","Footprints:1206_Big-Pads","","TDK","C3216X7R1E106K160AB","","25V"
"C12",".47uF","Footprints:0805_Medium_Pads","","KEMET","C0805C474K3RACTU","","25V"
"L2","3.3uH 4.2A 35m","Footprints:IND_2_5x5mm","","TDK","VLS5045EX-3R3N","",""
"C15","10uF","Footprints:1206_Big-Pads","","TDK","C3216X7R1E106K160AB","","25V"
"C18","10uF","Footprints:1206_Big-Pads","","TDK","C3216X7R1E106K160AB","","25V"
"P13","Conn_Basic_2_pin","Footprints:CONN_2pin_just_holes_2.54mmPITCH_1mmBigSquareHOLES","","MFG1","MFG1PN","",""
"R8","18k","Footprints:0805_Medium_Pads","","Yageo","RC0805FR-0718KL","Tol",""
"C13",".47uF","Footprints:0805_Medium_Pads","","KEMET","C0805C474K3RACTU","","25V"
"C16",".47uF","Footprints:0805_Medium_Pads","","KEMET","C0805C474K3RACTU","","25V"
"C17",".47uF","Footprints:0805_Medium_Pads","","KEMET","C0805C474K3RACTU","","25V"
"C14",".47uF","Footprints:0805_Medium_Pads","","KEMET","C0805C474K3RACTU","","25V"
"R9","100k","Footprints:0805_Medium_Pads","","Yageo","RC0805FR-07100KL","Tol",""
"R5","22.6k","Footprints:0805_Medium_Pads","","Yageo","RC0805FR-0722K6L","Tol",""
"F1","PTC FUSE","Footprints:1812","","Bel Fuse","0ZCG0200AF2B","Tol",""
"D1","Uni Zener 23V@17A","Footprints:SMA","","Littelfuse","SMAJ14A","","14V"
"L3","3.3uH 4.2A 35m","Footprints:IND_2_5x5mm","","TDK","VLS5045EX-3R3N","",""
"P14","Conn_Basic_2_pin","Footprints:CONN_2pin_just_holes_2.54mmPITCH_1mmBigSquareHOLES","","MFG1","MFG1PN","",""
"C19","100uF","Footprints:CAP_SMD_CAN_6.6x6.6mm","","Nichicon","UWT1E101MCL1GS","","25V"
"Q3","N_MOS_SOT23","Footprints:SOT-23","","Diodes Inc","DMN63D8L-7","",""
"R4","1k","Footprints:0805_Medium_Pads","","Yageo","RC0805FR-071KL","Tol",""
"R10","22.6k","Footprints:0805_Medium_Pads","","Yageo","RC0805FR-0722K6L","Tol",""
"C20",".47uF","Footprints:0805_Medium_Pads","","KEMET","C0805C474K3RACTU","","25V"
